|CB |29.8   |0  |0  |0  |0  |4  |1  |
|LB |13.57  |5  |0  |0  |9  |0  |0  |
|CM |42.33  |0  |0  |2  |1  |0  |0  |
|CDM|45.0   |0  |0  |0  |0  |1  |0  |
|CAM|28.93  |0  |2  |5  |7  |0  |0  |
|LM |12.9   |0  |0  |0  |9  |0  |1  |
|LW |9.27   |0  |4  |0  |7  |0  |0  |
|CF |100000000000000|0  |0  |0  |0  |0  |0  |
|ST |249.5  |10 |10 |10 |10 |10 |10 |
|Nome                |POS|Desvio |OVO|OVG|VEL|FIN|PAS|DRI|DEF|FIS|
|L. Messi            |CAM|-25    |91 |66 |81 |89 |90 |94 |34 |94 |
|K. Benzema          |CF |-91    |91 |0  |80 |88 |83 |87 |39 |87 |
|R. Lewandowski      |ST |290    |91 |381|75 |91 |79 |86 |44 |86 |
|K. De Bruyne        |CM |-74    |91 |17 |74 |88 |93 |87 |64 |87 |
|K. Mbappé           |ST |300    |91 |391|97 |89 |80 |92 |36 |92 |
|M. Salah            |RW |-19    |90 |71 |90 |89 |82 |90 |45 |90 |
|T. Courtois         |GK |-12    |90 |78 |84 |89 |75 |90 |46 |90 |
|M. Neuer            |GK |-7     |90 |83 |87 |88 |91 |88 |56 |88 |
|Cristiano Ronaldo   |ST |280    |90 |370|81 |92 |78 |85 |34 |85 |
|V. van Dijk         |CB |-57    |90 |33 |81 |60 |71 |72 |91 |72 |
|H. Kane             |ST |288    |89 |377|68 |91 |83 |82 |47 |82 |
|Neymar Jr           |LW |-26    |89 |63 |87 |83 |85 |93 |37 |93 |
|H. Son              |LW |-22    |89 |67 |88 |89 |82 |86 |42 |86 |
